,title,address,city,state,zipcode,price,date_sold,readable_date_sold,bedrooms,bathrooms,living_area,lot_size,year_built,home_type,home_status,finished_SqFt,total_rooms,neighborhood,DATE,bed_bath,lot_finish,age,p_sqft,finishedsqft_rooms,index,adjusted_price,adj_p_sqft,adj_price_m,group,zpid
31,600000,19 Woolson St,Boston,MA,02126,600000.0,1454655600000,2016-02-05,3,1.0,143027,5227,1910,APARTMENT,SOLD,143027.0,16.0,Mattapan,2016-02-01,3.0,0.036545547344207736,106,4.195012130576744,8939.1875,185.020373932098,693348.5068356837,4.847675661488276,0.6933485068356837,low_price_high_freq,59139474
32,685000,26 Crawford St,Boston,MA,02121,685000.0,1511269200000,2017-11-21,9,3.0,4760,12632,1900,MULTI_FAMILY,RECENTLY_SOLD,4760.0,15.0,Roxbury,2017-11-01,3.0,2.653781512605042,117,143.9075630252101,317.3333333333333,205.75985789297002,711786.6016226669,149.5350003408964,0.7117866016226669,low_price_high_freq,59213256
33,725000,29 Wabon St,Boston,MA,02121,725000.0,1510923600000,2017-11-17,12,3.0,4671,3787,1900,MULTI_FAMILY,RECENTLY_SOLD,4671.0,18.0,Roxbury,2017-11-01,4.0,0.8107471633483194,117,155.2130164846928,259.5,205.75985789297002,753350.782739319,161.2825482207919,0.753350782739319,low_price_high_freq,59112289
34,1200000,91 Grayfield Ave,Boston,MA,02132,1200000.0,1511388000000,2017-11-22,5,3.5,4248,14810,1912,SINGLE_FAMILY,RECENTLY_SOLD,4248.0,12.0,West Roxbury,2017-11-01,1.4285714285714286,3.486346516007533,105,282.4858757062147,354.0,205.75985789297002,1246925.4334995626,293.5323525187294,1.2469254334995625,low_price_high_freq,59155914
35,360000,84 Fayston St,Boston,MA,02121,360000.0,1510819200000,2017-11-16,9,3.0,4104,3342,1900,MULTI_FAMILY,RECENTLY_SOLD,4104.0,18.0,Roxbury,2017-11-01,3.0,0.814327485380117,117,87.71929824561404,228.0,205.75985789297002,374077.6300498687,91.14951999265807,0.3740776300498687,low_price_high_freq,59103314
36,745000,27 Leroy St,Boston,MA,02122,745000.0,1509710400000,2017-11-03,9,3.0,4098,3049,1905,MULTI_FAMILY,RECENTLY_SOLD,4098.0,18.0,South Dorchester,2017-11-01,3.0,0.7440214738897023,112,181.79599804782822,227.66666666666666,205.75985789297002,774132.8732976451,188.90504472856153,0.7741328732976451,low_price_high_freq,59109429
37,410000,11 Mascoma St,Boston,MA,02121,410000.0,1510819200000,2017-11-16,3,3.0,4038,3417,1900,MULTI_FAMILY,RECENTLY_SOLD,4038.0,18.0,Roxbury,2017-11-01,1.0,0.8462109955423477,117,101.53541357107478,224.33333333333334,205.75985789297002,426032.85644568386,105.50590798555817,0.42603285644568384,low_price_high_freq,59103313
38,850000,32 Bellevue St,Boston,MA,02125,850000.0,1512046800000,2017-11-30,9,3.0,3978,5662,1905,MULTI_FAMILY,RECENTLY_SOLD,3978.0,18.0,North Dorchester,2017-11-01,3.0,1.423328305681247,112,213.67521367521368,221.0,205.75985789297002,883238.8487288568,222.0308820333979,0.8832388487288567,low_price_high_freq,59213347
39,5191000,54 Commonwealth Ave APT 3,Boston,MA,02116,5191000.0,1511269200000,2017-11-21,4,4.0,3919,3919,1900,CONDO,RECENTLY_SOLD,3919.0,8.0,Back Bay,2017-11-01,1.0,1.0,117,1324.5725950497576,489.875,205.75985789297002,5393991.604413524,1376.3693810700495,5.393991604413524,high_price_high_freq,59166215
40,840000,28 Dix St,Boston,MA,02122,840000.0,1510606800000,2017-11-13,7,3.0,3896,7405,1895,MULTI_FAMILY,RECENTLY_SOLD,3896.0,15.0,South Dorchester,2017-11-01,2.3333333333333335,1.9006673511293635,122,215.60574948665297,259.73333333333335,205.75985789297002,872847.8034496938,224.03691053636905,0.8728478034496938,low_price_high_freq,59106861
