title,address,city,state,zipcode,price,date_sold,readable_date_sold,bedrooms,bathrooms,living_area,lot_size,year_built,home_type,home_status,finished_SqFt,total_rooms,neighborhood,zpid
3100,403 Marlborough St APT 2,Boston,MA,02115,3100,1535828400000,9/1/18,1,1,775,776,1884,CONDO,RECENTLY_SOLD,775,3,Back Bay,59169097
1400,5 Gay Head St,Boston,MA,02130,1400,1535828400000,9/1/18,1,1,9999,3280,1900,APARTMENT,RECENTLY_SOLD,9999,8,Jamaica Plain,81860161
3400,73 Worcester St # 4,Boston,MA,02118,3400,1535828400000,9/1/18,2,1,725,725,1900,CONDO,RECENTLY_SOLD,725,3,South End,59184122
1975,8 Garrison St APT 205,Boston,MA,02116,1975,1535828400000,9/1/18,0,1,390,390,1910,MULTI_FAMILY,RECENTLY_SOLD,390,2,Back Bay,59179328
420500,21 Sutherland Rd APT 19,Boston,MA,02135,420500,1535752800000,8/31/18,1,1,760,760,1930,CONDO,RECENTLY_SOLD,760,4,Brighton,59094523
549900,11 Atlantis St,Boston,MA,02132,549900,1535742000000,8/31/18,3,2,1217,5034,1954,SINGLE_FAMILY,RECENTLY_SOLD,1217,6,West Roxbury,59156930
570000,147-149 Richmond St # 4,Boston,MA,02109,570000,1535742000000,8/31/18,2,1,726,727,1899,CONDO,RECENTLY_SOLD,726,4,North End,71546048
805000,390 Commonwealth Ave APT 602,Boston,MA,02215,805000,1535742000000,8/31/18,2,1,846,846,1986,CONDO,RECENTLY_SOLD,846,4,Back Bay,59167634
670000,23 Sanderson Pl,Boston,MA,02135,670000,1535742000000,8/31/18,3,2,1452,3484,1935,SINGLE_FAMILY,RECENTLY_SOLD,1452,6,Brighton,189925869
615000,110 N St # 3,Boston,MA,02127,615000,1535742000000,8/31/18,2,1,741,785,1924,CONDO,RECENTLY_SOLD,741,4,South Boston,87794236
1935000,1 Charles St S UNIT 1606,Boston,MA,02116,1935000,1535742000000,8/31/18,2,2,1554,1554,2004,CONDO,RECENTLY_SOLD,1554,5,Back Bay,67709608
575000,238 Saratoga St,Boston,MA,02128,575000,1535742000000,8/31/18,6,3,3580,2613,1910,MULTI_FAMILY,RECENTLY_SOLD,3580,15,East Boston,59124216
419000,483 Beacon St APT 93,Boston,MA,02115,419000,1535742000000,8/31/18,1,1,315,315,1895,CONDO,RECENTLY_SOLD,315,3,Back Bay,59169203
521000,14 Pleasant St # 2,Boston,MA,02125,521000,1535742000000,8/31/18,2,2,880,880,1905,CONDO,RECENTLY_SOLD,880,4,North Dorchester,123848333
690000,149 Parsons St,Boston,MA,02135,690000,1478552400000,11/7/16,3,2,1648,9019,1935,SINGLE_FAMILY,SOLD,1648,6,Brighton,59092191
1000000,122 Beacon St,Boston,MA,02116,1000000,1462881600000,5/10/16,4,1.5,2632,9000,1915,SINGLE_FAMILY,SOLD,2632,9,Back Bay,59126551
625000,92 Dix St,Boston,MA,02122,625000,1505995200000,9/21/17,5,2,3098,9000,1876,MULTI_FAMILY,SOLD,3098,11,South Dorchester,59106844
780000,29 Prospect Ave,Boston,MA,02131,780000,1533106800000,8/1/18,5,2,2200,9000,1931,MULTI_FAMILY,RECENTLY_SOLD,2200,11,Roslindale,59145814
841500,44 Maxfield St,Boston,MA,02132,841500,1502434800000,8/11/17,3,2,2072,9000,1929,SINGLE_FAMILY,SOLD,2072,,West Roxbury,59157344
345000,125 Wellington Hill St,Boston,MA,02126,345000,1490857200000,3/30/17,3,2,1834,8973,1930,SINGLE_FAMILY,SOLD,1834,7,Mattapan,59139330
680000,488 Metropolitan Ave,Boston,MA,02136,680000,1499774400000,7/11/17,4,2.5,2188,8960,1935,MULTI_FAMILY,SOLD,2188,12,Hyde Park,59125432
1500000,24 Bellamy St,Boston,MA,02135,1500000,1506513600000,9/27/17,5,4,3167,8912,1953,SINGLE_FAMILY,SOLD,3167,10,Brighton,59096666
650000,27 Marcella St,Boston,MA,02119,650000,1534359600000,8/15/18,3,3,1710,8877,2017,CONDO,RECENTLY_SOLD,1710,6,Roxbury,59186252
515000,235 Park St,Boston,MA,02132,515000,1446188400000,10/30/15,4,1.5,2400,8714,1900,SINGLE_FAMILY,SOLD,3447,12,South Dorchester,59119327
